¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
31 a 35 años,Santa Cruz,Es una excelente oportunidad para poder adquirir conocimientos de personas preparadas en el tema para asi poder aplicar en mi vida profesional y en mi emprendimiento,Maestria,Trabajo y emprendo como actividad paralela," Creo que soy una persona creativa, que siempre esta en búsqueda de inspiración para crear e innovar mis emprendimientos; resiliente porque a lo largo de mi vida me adapte en diferentes cambios y trabajos en los que siento que fracase y aprendí de esos fracasos y capacidad de aprendizaje y estudio",Mejorar mis habilidades de comunicación y marketing; mejorar mi forma de trabajo en equipo y; gestión de mi economía y tiempo,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
36 a 40 años,Cochabamba,Capacitarme y aprender herramientas y habilidades para el crecimiento de mi empresa ,Diplomado,Trabajo y emprendo como actividad paralela,"Perseverancia, empatía y valentía ","Liderazgo, trabajo en equipo, toma de decisiones,  cierre de ventas ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Noche,Hace más de un año,Seguridad privada Lakota ,"Servicios de custodia, vigilancia de bienes inmuebles mediante guardias de seguridad a empresas industriales, clínicas, colegio, edificio y ambiente, y como segunda actividad servicios de contabilidad ",Servicios profesionales y/ó consultorías,De 1 a 5 años,Más de 5 (incluida mi persona),Otro,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
18 a 25 años,Santa Cruz,"Mi motivación para postular al programa Track de mujeres radica en mi deseo de empoderarme aún más como mujer líder. Espero poder fortalecer mis habilidades de liderazgo, aprender de la experiencia de mujeres inspiradoras y contribuir al desarrollo de una red sólida de mujeres líderes. Estoy emocionada por la oportunidad de crecer personal y profesionalmente, así como por el potencial de inspirar y apoyar a otras mujeres en su camino hacia el éxito.",Técnico medio o superior,Aún me encuentro estudiando,"Las tres habilidades, fortalezas o conocimientos que destacaría de mí son:

1. Comunicación efectiva:Tengo habilidades sólidas de comunicación, tanto escritas como verbales, lo que me permite expresar mis ideas de manera clara y persuasiva.

2. Capacidad de trabajo en equipo: Me considero una persona colaborativa y comprometida, capaz de trabajar eficazmente en equipo, aportando ideas y apoyando a mis compañeros para alcanzar objetivos comunes.

3. Resolución de problemas:Soy hábil para identificar y abordar problemas de manera creativa y eficiente, utilizando un enfoque analítico y proactivo para encontrar soluciones efectivas.","A través del programa, me gustaría adquirir y mejorar las siguientes habilidades y conocimientos:

1. Liderazgo efectivo:Me gustaría desarrollar habilidades de liderazgo más sólidas.
2. Gestión del cambio:Quiero aprender a gestionar el cambio de manera eficaz, tanto a nivel personal como organizacional.
3. Habilidades de negociación:Me gustaría mejorar mis habilidades de negociación para poder llegar a acuerdos mutuamente beneficiosos y resolver conflictos de manera constructiva. Y así tener convenios o negociaciones favorables tanto para mi como el otro negociador.",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Quiero adquirir más conocimientos para aplicarlos en mi emprendimiento ,Post grado,Soy emprendedora,"Mi primer habilidad es tener pensamiento creativo, soy empática con mi entorno y solucionó problemas rápidamente ","Quisiera tener una comunicación más acertiva, quiero adquirir más conocimientos ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 5 años,Amor es Chocolate ,"Amor es chocolate se dedica a la elaboración de chocolates artesanales en varias presentaciones: bombones y trufas con diferentes sabores, paletas de chocolate, cajas con chocolates personalizados y arreglos en chocolate ",Artesanía y manualidades,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Otras
Más de 50 años,Santa Cruz,Quiero aprender a cómo potenciar mi emprendimiento ,Post grado,Trabajo y emprendo como actividad paralela,"Crearividad, enfoque, perseverancia ",Me gustaría saber como ser mas eficiente ,Ambos,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,Supralab,Plataforma que conecta ,Servicios profesionales y/ó consultorías,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Ventas con propósito,Emprendimiento e Innovación
36 a 40 años,Santa Cruz,Emprender,Diplomado,Soy emprendedora,"Adaptabilidad, colaboración y gestión de proyectos",Nuevas tecnologías de gestión y herramientas para impulsar un negocio,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Noche,Hace más de 10 años,Mission,Souvenirs y merchandising inspirados en las Misiones Jesuitas de Sudamérica ,Artesanía y manualidades,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Instagram,Otro,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
31 a 35 años,Santa Cruz,"Poder mejorar mi emprendimiento, potenciarlo y crecer ",Licenciatura,Soy emprendedora,"Habilidades: creativa, organizada y trabajo en equipo.
Fortalezas: visión, pasión y liderazgo.
Conocimientos: técnico en finanzas, marketing y facilidad de palabras para ventas.",Me gusta ampliar más mi conocimiento en marketing y finanzas como también estrategias.,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Kim Eco papelería ,"Aún emprendimiento de papelería ecológicas y fabricación de papel semilla, tenemos variedad de productos,nuestro producto estrella es el papel semilla nuestro objetivo es acercar la naturaleza a las personas.",Manufactura,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Liderazgo y Empoderamiento
41 a 45 años,La Paz,Conocer más del área y tener más herramientas de trabajo ,Licenciatura,Trabajo y emprendo como actividad paralela,"Facilidad de comunicación, análisis financiero, responsable y proactiva ",Ventas,Ambos,Si,Si,Fines de semana,Tarde,Hace menos de 1 año,Micromarket KLAB,"Venta de abarrotes, plásticos y otros ",Actividad comercial,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Liderazgo y Empoderamiento
31 a 35 años,El Alto,Quiero aprender más herramientas y capacitación para hacer crecer mi negocio.,Técnico medio o superior,En búsqueda de empleo,"Vender, creativa y responsable.",Técnicas de venta para hacer crecer mi negocio.,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,Venta de cosméticos.,"Mi persona vende cosméticos, perfumes y joyería.","Belleza, cuidado personal",Menos de 1 año,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
31 a 35 años,La Paz,Actualizar mis conocimientos y habilidades y por supuesto hacer networking,Licenciatura,Soy emprendedora,"Resiliencia, automotivación y capacidad bde resolver problemas ",Marketing digital y finanzas ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de 5 años,ENTERACTIVE SRL,Somos una empresa que desarrolla software a medida bajo tecnologías open source,Tecnología,6 a 10 años,Más de 5 (incluida mi persona),Redes sociales Pista8,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Desarrollo Personal y Profesional
36 a 40 años,La Paz,Mejorar conocimientos de interes para mi negocio,Maestria,Soy emprendedora,"Liderazgo, empatía, creatividad ",Estrategia de negocio y finanzas,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Liderazgo y Empoderamiento
Más de 50 años,La Paz,Mejorar mis conocimientos y habilidades para fortalecer mi emprendimiento.,Licenciatura,Trabajo y emprendo como actividad paralela,"Curiosidad y ganas de aprender, persistencia y paciencia.","Establecer el mercado adecuado, determinar las necesidades del cliente, herramientas adecuadas para llegar al mercado.",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
31 a 35 años,Santa Cruz,"Adquirir destrezas, herramientas que potencien mi camino como CEO, hacer networking y tener aliados.",Diplomado,Trabajo y emprendo como actividad paralela,"Iniciativa, creadora de ideas, hago lazos estratégicos ","Escalar en la capacidad de planificación, desarrollo de proyectos y etapas ",Ambos,Si,Si,Fines de semana,Mañana,Hace más de 10 años,Wiser Tourism,"Wiser Tourism nace en 2020 como resultado de viajar un año sola por Brasil, en la búsqueda de una solución que permita conectar viajeros con proveedores de experiencias turísticas; permitiendo explorar diferentes opciones de viaje, garantizando seguridad, practicando la adaptabilidad a cada viajero y todo en una sola plataforma web (marketplace). Ser turista en tu propia ciudad.",Turismo,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
26 a 30 años,La Paz,"Mi expectativa para participar en el programa Track de mujeres es para aprender y desarrollar habilidades empresariales, tener una red de apoyo, empoderamiento personal y networking.",Licenciatura,Soy emprendedora,"Tecnología, innovación, pasión y compromiso","Networking, finanzas, toma de decisiones",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Blumbit ,"Blumbit es una plataforma de educación online en tecnología, que ofrece cursos en vivo con un enfoque en la creación de proyectos funcionales para un aprendizaje interactivo y practico. Que ayuda profesionales y emprendedores a mantenerse actualizados y ser competitivos en el mercado laboral actual. ",Educación y formación,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
46 a 50 años,Santa Cruz,POTENCIAR MIS NEGOCIOS ,Post grado,Soy emprendedora,"Proactiva, Organizada y Resiliente","Comunicación Asertiva, Flexibilidad y Negociación",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace menos de 1 año,ByPass Burguer,Restaurante de comida rápida ,Gastronomía y/ó alimentos,Menos de 1 año,3 y 5 personas (incluida mi persona),LinkedIn ,Instagram,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
31 a 35 años,Santa Cruz,Quiero tener mi salón de belleza ,Técnico medio o superior,Soy emprendedora,"Aprendo rápido,tengo pasión por el maquillaje y quiero seguir capacitandome ","Quiero aprender a manejar redes sociales para impulsar ni negocio, también quiero aprender sobre finanzas ",Trabajo asalariado o eventual,,,,,,,,,,,,,Ser dueñas de su tiempo.,Finanzas_financiamiento,Desarrollo Personal y Profesional
18 a 25 años,Santa Cruz,Asesoramiento para impulsar mi negocio ,Técnico medio o superior,Soy emprendedora,"Optimista 
Responsable 
Activa ","Marketing 
Financiamiento 
Administración de gastos e inversión ",A través de mi empresa o emprendimiento,No,Si,Indiferente,Mañana,Hace menos de 1 año,Pollos a la broaster ,Vendo comida rápida y bebidas ,Gastronomía y/ó alimentos,Menos de 1 año,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
41 a 45 años,Santa Cruz,Aprender a emprender,Maestria,Soy emprendedora,"Inteligencia artificial, creatividad y perseverancia",Conocimiento sobre negocios,Aún no percibo ingresos,,,,,,,,,,,,,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Finanzas_financiamiento,Resiliencia y Determinación
41 a 45 años,Santa Cruz,Independencia financiera y continuar con mi proyecto de responsabilidad social para el oncologico ,Licenciatura,En búsqueda de empleo,"Perseverancia, constancia y proactividad",Plan de negocios ,Ambos,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Be Happy ,Se feliz ,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Solventar los gastos del hogar.,Finanzas_financiamiento,Resiliencia y Determinación
36 a 40 años,Santa Cruz,Trabajo en el área de la economía creativa y cultural como investigadora y desde hace un año como mentora de emprendimientos femeninos de manera internacional. Mi interés es desarrollar habilidades aplicadas al contexto local y el networking que se generan dentro de éstas atrás de estudio. ,Maestria,Trabajo como profesional independiente,"Mi curiosidad, que me lleva a ser investigación. Tengonla habilidad de unir puntos y me ayuda para reformular o profundizar en diferentes áreas; la empatía, desde donde sintetizar lo aprendido para poder ayudar a otros. ","Entrar en el contexto local, he trabajado bastante con proyectos vinculados al extranjero y quiero asentar mis consultorias en lo local. ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 5 años,Olimpia Peñaloza,Consultoría de investigación y mentoría en Gestión de Patrimonio Cultural y Economía Creativa ,Servicios profesionales y/ó consultorías,De 1 a 5 años,Sólo yo,Redes sociales Pista8,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Curiosidad y Aprendizaje
31 a 35 años,La Paz,Emprender ,Licenciatura,Trabajo como profesional independiente,Ímpetu responsabilidad y honestidad ,Liderazgo y marketing ,Trabajo asalariado o eventual,,,,,,,,,,,,,Otro,Marketing digital,Responsabilidad y Compromiso
31 a 35 años,Santa Cruz,Poder adquirir herramientas prácticas para el desarrollo y fortalecimiento de mi emprendimiento ,Diplomado,Trabajo y emprendo como actividad paralela,"Manejo de redes sociales, constancia y facilidad de comunicación ","Ventas, finanzas y administración ",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
18 a 25 años,Santa Cruz,Aprender y convivir con gente con la misma motivación que yo.,Bachiller,Aún me encuentro estudiando,"Soy buena aprendiendo y vendiendo, soy bastante metedora con lo que me propongo","Desenvolverme mejor, aprender nuevas técnicas",Trabajo asalariado o eventual,,,,,,,,,,,,,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Marketing digital,Iniciativa y Autonomía
26 a 30 años,El Alto,"Mi motivación para postular al track de Mujeres radica en mi deseo constante de aprender y crecer en el mundo del emprendimiento. A lo largo de mi primer año como emprendedora, he recorrido un camino emocionante pero desafiante, y estoy consciente de que aún tengo mucho por aprender y desarrollar. Estoy siempre dispuesta a adquirir nuevas habilidades y conocimientos, así como por fortalecer las que ya poseo. Mi expectativa al participar en este concurso es poder conectarme con otras emprendedoras de diferentes sectores y con mentores  que puedan brindarme perspectivas valiosas y orientación en áreas clave para el éxito de mi negocio. Creo que esta experiencia contribuirá a mi crecimiento personal y profesional, así como para el desarrollo exitoso de mi emprendimiento.",Licenciatura,Soy emprendedora,"Una de mis principales fortalezas es mi perseverancia, la cual he demostrado a lo largo del primer año de mi negocio. Enfrentar el desafío de ofrecer un servicio innovador y pionero en Bolivia me ha impulsado a forjar alianzas estratégicas tanto con puntos de venta como con proveedores, superando obstáculos y adoptándome constantemente para alcanzar mis objetivos.

Además, poseo la habilidad de resolver problemas de manera ágil y eficiente, siempre buscando soluciones prácticas que consideren tanto el corto como el largo plazo. Esta capacidad me ha permitido sortear obstáculos y mantener la operatividad de mi negocio en todo momento.

Por último, mi conocimiento y mi pasión en sostenibilidad y economía circular es una fortaleza que esta como pilar de mi emprendimiento, contribuyendo así al cuidado del medio ambiente y al desarrollo de una economía más circular.","Una de las áreas en la que me gustaría mejorar a través del programa es la gestión del tiempo y las planificación de actividad de mi negocio. Como emprendedora, a menudo me encuentro con múltiples responsabilidades y tareas que requieren una atención simultánea. Me gustaría aprender estrategias prácticas y efectivas para organizar mi tiempo de manera más eficiente y priorizar tareas según su importancia y urgencia.

Además, me interesa adquirir habilidades en la gestión financiera de mi negocio. Es fundamental para mí poder separar de manera clara las finanzas de mi negocio de las personales, asegurando una gestión adecuada de los recursos y una toma de decisiones financiera sólida y fundamentada.

Por último, el desarrollo de habilidades de liderazgo es otro objetivo importante para mí. Como fundadora de Muyu Market, estoy comprometida con establecer un equipo. Me gustaría aprender a inspirar, motivar y guiar a mi equipo de manera efectiva, fomentando un ambiente de trabajo colaborativo y productivo.",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,MuyuMarket,"MuyuMarket brinda un servicio de venta de productos de consumo masivo en un formato recargable. Nos enfocamos en la venta de productos de limpieza para el hogar y productos de cuidado personal, elaborados por pequeñas empresas nacionales, permitiendo a nuestros clientes reducir la cantidad de envases plásticos que utilizan, reutilizar los mismos y alargar su vida útil. Actualmente, contamos con 3 estaciones de recarga manuales ubicadas en lugares estratégicos como tiendas, y micromercados ecológicos y saludables de la ciudad de La Paz.
Más que una plataforma de recarga, MuyuMarket promueve un estilo de vida sostenible, liderando un movimiento hacia un consumo local más responsable.
",Actividad comercial,De 1 a 5 años,Sólo yo,Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
Más de 50 años,Santa Cruz,"Adquirir las herramientas que me permitan, conocer y desarrollar nuestro emprendimiento para lograr la sostenibilidad.",Licenciatura,Soy emprendedora,"Persistente, me gusta aprender y soy organizada.",Me gustaría aprender estrategias de ventas y costos de operación.,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
26 a 30 años,La Paz,Quiero mejorar a tomar decisiones estratégicas y saber desenvolverme mejor para negociar efectivamente.,Bachiller,Soy emprendedora,"Creatividad, sabiduría y conocimientos y sobre todo humildad .",A negociar y vender con facilidad para poder hacer crecer mi negocio.,Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Toma de decisiones y negociación,Desarrollo Personal y Profesional
Más de 50 años,Santa Cruz,Hacer más eficiente mi emprendimiento,Maestria,Trabajo y emprendo como actividad paralela,"Capacidad de aprender cosas nuevas, motivación, capacidad de trabajo",Aprender a delegar y mejor organización para aprovechar mejor el tiempo,Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Emprendimiento e Innovación
Más de 50 años,Santa Cruz,"Adquirir herramientas para estrategias de ventas, costos, operación y así lograr hacer crecer    nuestro emprendimiento.",Licenciatura,Soy emprendedora,"Persistente, me gusta aprender y soy organizada.","Me gustaría saber sobre negociación, ventas y costos.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,MANO MADERA,"TRABAJAMOS CON MADERA ECOAMIGABLE (PROVENIENTE DE UNA CONCESIÓN), PINTAMOS A MANO DISEÑOS PROPIOS Y PERSONALIZADOS Y CREAMOS PRODUCTOS ÚNICOS, PRÁCTICOS Y DIVERTIDOS  PARA EL HOGAR .",Artesanía y manualidades,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
Más de 50 años,Santa Cruz,Mejorar la organización del trabajo para aprovechar los recursos y el tiempo,Maestria,Trabajo y emprendo como actividad paralela,"Capacidad de aprender, flexibilidad en asumir tareas, motivación","Capacidad de organizar mejor los recursos y el tiempo, delegar, calcular mejor los costos",De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Mañana,Hace más de un año,Mano Madera ,"Trabajamos con rodajas de madera, las pintamos, lijamos y hacemos cosas para el hogar: posavasos, bandejas, magnetos",Artesanía y manualidades,De 1 a 5 años,1 a 2 personas (incluida mi persona),Referencias personales,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Desarrollo Personal y Profesional
18 a 25 años,Santa Cruz,Escalar a nivel empresarial con mi Emprendimieto es mi motivación.,Bachiller,Soy emprendedora,"Trabajo en equipo, adaptación, apasionada por el Emprendimieto ","Comunicación, habilidades digitales ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Confecciones CAMS,"Ofrecemos una amplia gama de totebags ecológicas diseñadas para satisfacer las necesidades y gustos de diferentes consumidores. Nuestras totebags están hechas con materiales ecológicos, Cada totebag tiene un diseño único y original que refleja nuestro compromiso con la moda sostenible y el estilo consciente.","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Trabajo en Equipo y Colaboración
31 a 35 años,La Paz,Mejorar en mi emprendimiento ,Licenciatura,Soy emprendedora,"Creatividad, dinámica y social ","Constancia, marketing y inventario ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,Vender accesorios de tecnología ,Vendiendo accesorios de tecnología por redes sociales ,Tecnología,Menos de 1 año,Sólo yo,Comunidad Mamaya,Tik tok,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Creatividad y Solución de Problemas
41 a 45 años,Santa Cruz,Implementar mejoras en mi emprendimiento ,Maestria,Trabajo y emprendo como actividad paralela,"Emprendedora, sin temor al riesgo, buenas relaciones sociales ",Finanzas y técnicas de ventas,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Mañana,Hace más de un año,Joyas topacio y vivero espacio verde,Joyeria y vivero,Actividad comercial,De 1 a 5 años,Sólo yo,Invitación directa,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
Más de 50 años,La Paz,El reyroalimentarme y aprender mas,Técnico medio o superior,Soy emprendedora,"Buena comunicación, trabajo en equipo, buenas relaciones públicas ",Fortalecer el emprendimiento,Trabajo asalariado o eventual,,,,,,,,,,,,,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
31 a 35 años,El Alto,Aprender para mejorar y networking ,Licenciatura,Trabajo como profesional independiente,"Innovación, creatividad y perseverancia ","Marketing, finanzas y sistenibilidad ",De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Noche,Hace más de 5 años,"Segundina, dulce alternativa.","Es una respuesta ante  la falta de opciones de repostería para diabéticos en el municipio de El Alto y la metrópolis de La Paz, porque muchos confunden celiaco y diabetes, y los resultados no son nada agradables debido a la desinformación sobre esta enfermedad y sus complicaciones. Porque vivir con diabetes es llegar a ser de verdad una persona resiliente.",Gastronomía y/ó alimentos,6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Ver el tema de las finanzas ,Diplomado,Soy emprendedora,"Responsable, me gusta siempre innovar en mis productos que hago, me gusta estar siempre capacitándome con todo lo relacionado a mi trabajo.","Ver alguna técnica para el tema de las finanzas , ya que manejo ingresos.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 5 años,"Tienda Emanuel, ISIS bocaditos dulces y salados, ISIS regalos y detalles, ISIS cosméticos ","Es una tienda abarrotes, y todo de acuerdo a realizar detalles en flores o globos, etc.",Actividad comercial,De 1 a 5 años,Sólo yo,Invitación directa,Facebook,Otro,Finanzas_financiamiento,Emprendimiento e Innovación
18 a 25 años,Santa Cruz,Aprender más y especialmente de mujeres que destacan,Licenciatura,Trabajo como profesional independiente,"Soy una persona artística, disciplina y alegre",Más conocimiento otra emprender y empoderamiento ,Trabajo asalariado o eventual,,,,,,,,,,,,,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
Más de 50 años,La Paz,Superarme como mujer emprendedora ,Bachiller,Soy emprendedora,Manualidades,Manualidades,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Retablos y artesanias JB,Realizo retablos y gnomos con materiales reciclados para evitar la contaminación del medio ambiente,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Otro,Otras
26 a 30 años,La Paz,Generar una red de contactos y darle una imagen al emprendimiento,Diplomado,Trabajo y emprendo como actividad paralela,"Creatividad, organización e ingenio","Imagen empresarial, base de datos, presentación de proyectos",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace menos de 1 año,CulinaryPro Consultant,"Somos  una consultora dirigida a negocios gastrónomos. Ofrecemos soluciones personalizadas para cada tipo de socio, jefe y speech gastronómico. Nuestra especialidad es la organización de áreas, análisis de costos e innovación de platos desde el concepto del negocio con el que tratamos.",Servicios profesionales y/ó consultorías,Menos de 1 año,1 a 2 personas (incluida mi persona),Referencias personales,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Creatividad y Solución de Problemas
31 a 35 años,Cochabamba,Mi objetivo es el de capacitarme para poder direccionae mi emprendimiento de u a manera adecuada.,Licenciatura,Soy emprendedora,"Destaco mi perseverancia, liderazgo y proactividad.",Quisiera desarrollar el conocimiento en el area de ventas y ppsicionamiento de marca.,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Mañana,Hace más de un año,Industrias DAS,"Elaboración de productos con materia prima a base de áloe vera Sábila jugos, concentrados, mermeladas.",Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Referencias personales,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Liderazgo y Empoderamiento
18 a 25 años,La Paz,Deseo aprender a optimizar mi tiempo y mejorar en mi negocio,Bachiller,Trabajo y emprendo como actividad paralela,"Soy convincente
Nunca me rindo
Soy paciente","Mejorar mis ventas
Mejorar el alcance de mis conocimientos",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Tarde,Hace menos de 1 año,Modo Claudia,Cuando vi que en el mercado no había ropa de mi talla y de mis gustos debido que podía hacer mi propia moda y les envío fotos a mis amigas y ellas me piden algo de su agrado y confecciono,"Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,Sólo yo,Redes sociales Banco Sol,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Resiliencia y Determinación
36 a 40 años,Santa Cruz,Adquirir conocimientos para impulsar mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Creatividad, perseverancia y conocimientos en el área de diseño, corte y confección ","Administración, costos, técnicas de ventas",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
